Month,Year,Date,Month-Year,ICO_composite_indicator_USD,ICO_composite_indicator_USCents
January,1990,1/1/1990,Jan 1990,0.6275,62.75
February,1990,2/1/1990,Feb 1990,0.6701,67.01
March,1990,3/1/1990,Mar 1990,0.7525,75.25
April,1990,4/1/1990,Apr 1990,0.7534,75.34
May,1990,5/1/1990,May 1990,0.7330,73.30
June,1990,6/1/1990,Jun 1990,0.6991,69.91
July,1990,7/1/1990,Jul 1990,0.6836,68.36
August,1990,8/1/1990,Aug 1990,0.7410,74.10
September,1990,9/1/1990,Sep 1990,0.7555,75.55
October,1990,10/1/1990,Oct 1990,0.7389,73.89
November,1990,11/1/1990,Nov 1990,0.7010,70.10
December,1990,12/1/1990,Dec 1990,0.7283,72.83
January,1991,1/1/1991,Jan 1991,0.6938,69.38
February,1991,2/1/1991,Feb 1991,0.7055,70.55
March,1991,3/1/1991,Mar 1991,0.7247,72.47
April,1991,4/1/1991,Apr 1991,0.7145,71.45
May,1991,5/1/1991,May 1991,0.6747,67.47
June,1991,6/1/1991,Jun 1991,0.6558,65.58
July,1991,7/1/1991,Jul 1991,0.6431,64.31
August,1991,8/1/1991,Aug 1991,0.6334,63.34
September,1991,9/1/1991,Sep 1991,0.6686,66.86
October,1991,10/1/1991,Oct 1991,0.6283,62.83
November,1991,11/1/1991,Nov 1991,0.6430,64.30
December,1991,12/1/1991,Dec 1991,0.6307,63.07
January,1992,1/1/1992,Jan 1992,0.6112,61.12
February,1992,2/1/1992,Feb 1992,0.5551,55.51
March,1992,3/1/1992,Mar 1992,0.5648,56.48
April,1992,4/1/1992,Apr 1992,0.5364,53.64
May,1992,5/1/1992,May 1992,0.4927,49.27
June,1992,6/1/1992,Jun 1992,0.4813,48.13
July,1992,7/1/1992,Jul 1992,0.4870,48.70
August,1992,8/1/1992,Aug 1992,0.4589,45.89
September,1992,9/1/1992,Sep 1992,0.4711,47.11
October,1992,10/1/1992,Oct 1992,0.5288,52.88
November,1992,11/1/1992,Nov 1992,0.5749,57.49
December,1992,12/1/1992,Dec 1992,0.6400,64.00
January,1993,1/1/1993,Jan 1993,0.5814,58.14
February,1993,2/1/1993,Feb 1993,0.5732,57.32
March,1993,3/1/1993,Mar 1993,0.5476,54.76
April,1993,4/1/1993,Apr 1993,0.5138,51.38
May,1993,5/1/1993,May 1993,0.5418,54.18
June,1993,6/1/1993,Jun 1993,0.5454,54.54
July,1993,7/1/1993,Jul 1993,0.6061,60.61
August,1993,8/1/1993,Aug 1993,0.6769,67.69
September,1993,9/1/1993,Sep 1993,0.7164,71.64
October,1993,10/1/1993,Oct 1993,0.6778,67.78
November,1993,11/1/1993,Nov 1993,0.7003,70.03
December,1993,12/1/1993,Dec 1993,0.7150,71.50
January,1994,1/1/1994,Jan 1994,0.6917,69.17
February,1994,2/1/1994,Feb 1994,0.7237,72.37
March,1994,3/1/1994,Mar 1994,0.7611,76.11
April,1994,4/1/1994,Apr 1994,0.8119,81.19
May,1994,5/1/1994,May 1994,1.0842,108.42
June,1994,6/1/1994,Jun 1994,1.2791,127.91
