Crop Year,Year,Date,Country,1000 60kg Bags
1990/91,1990,1/1/1990,Brazil,26926
1991/92,1991,1/1/1991,Brazil,25548
1992/93,1992,1/1/1992,Brazil,22625
1993/94,1993,1/1/1993,Brazil,28921
1994/95,1994,1/1/1994,Brazil,29227
1995/96,1995,1/1/1995,Brazil,32161
1996/97,1996,1/1/1996,Brazil,26361
1997/98,1997,1/1/1997,Brazil,27298
1998/99,1998,1/1/1998,Brazil,26594
1999/00,1999,1/1/1999,Brazil,30070
2000/01,2000,1/1/2000,Brazil,43762
2001/02,2001,1/1/2001,Brazil,43295
2002/03,2002,1/1/2002,Brazil,37303
2003/04,2003,1/1/2003,Brazil,42292
2004/05,2004,1/1/2004,Brazil,32056
2005/06,2005,1/1/2005,Brazil,28923
2006/07,2006,1/1/2006,Brazil,14855
2007/08,2007,1/1/2007,Brazil,18470
2008/09,2008,1/1/2008,Brazil,12227
2009/10,2009,1/1/2009,Brazil,15766
2010/11,2010,1/1/2010,Brazil,11098
2011/12,2011,1/1/2011,Brazil,13340
2012/13,2012,1/1/2012,Brazil,10063
2013/14,2013,1/1/2013,Brazil,15868
2014/15,2014,1/1/2014,Brazil,17720
2015/16,2015,1/1/2015,Brazil,12910
2016/17,2016,1/1/2016,Brazil,7800
2017/18,2017,1/1/2017,Brazil,9872
2018/19,2018,1/1/2018,Brazil,9832
1990/91,1990,1/1/1990,Colombia,3720.797
1991/92,1991,1/1/1991,Colombia,4669.41
1992/93,1992,1/1/1992,Colombia,5913.941
1993/94,1993,1/1/1993,Colombia,5028.688
1994/95,1994,1/1/1994,Colombia,2427.508
1995/96,1995,1/1/1995,Colombia,4674.038
1996/97,1996,1/1/1996,Colombia,5468.495
1997/98,1997,1/1/1997,Colombia,3728.282
1998/99,1998,1/1/1998,Colombia,3611.323
1999/00,1999,1/1/1999,Colombia,2875.191
2000/01,2000,1/1/2000,Colombia,2054.666
2001/02,2001,1/1/2001,Colombia,1855.131
2002/03,2002,1/1/2002,Colombia,1912.973
2003/04,2003,1/1/2003,Colombia,1894.76
2004/05,2004,1/1/2004,Colombia,1556.227
2005/06,2005,1/1/2005,Colombia,1215.56
2006/07,2006,1/1/2006,Colombia,1522.626
2007/08,2007,1/1/2007,Colombia,1538.639
2008/09,2008,1/1/2008,Colombia,1354.25
2009/10,2009,1/1/2009,Colombia,730.88
2010/11,2010,1/1/2010,Colombia,999.163
2011/12,2011,1/1/2011,Colombia,993.345
2012/13,2012,1/1/2012,Colombia,1053.766
2013/14,2013,1/1/2013,Colombia,1266.388
2014/15,2014,1/1/2014,Colombia,1379.366
2015/16,2015,1/1/2015,Colombia,964.331
2016/17,2016,1/1/2016,Colombia,1196.173
2017/18,2017,1/1/2017,Colombia,927.088
2018/19,2018,1/1/2018,Colombia,978
1990/91,1990,1/1/1990,Costa Rica,343
1991/92,1991,1/1/1991,Costa Rica,120
1992/93,1992,1/1/1992,Costa Rica,229.345
1993/94,1993,1/1/1993,Costa Rica,190
1994/95,1994,1/1/1994,Costa Rica,100
1995/96,1995,1/1/1995,Costa Rica,309
1996/97,1996,1/1/1996,Costa Rica,297
1997/98,1997,1/1/1997,Costa Rica,79
1998/99,1998,1/1/1998,Costa Rica,163
1999/00,1999,1/1/1999,Costa Rica,141
2000/01,2000,1/1/2000,Costa Rica,267
2001/02,2001,1/1/2001,Costa Rica,200
2002/03,2002,1/1/2002,Costa Rica,191
