Date,GroupedCountry,Crop Year,OneK60kgBags
1/1/1990,Brazil,1990/91,26926.00
1/1/1990,Other Countries,1990/91,26507.99
1/1/1991,Brazil,1991/92,25548.00
1/1/1991,Other Countries,1991/92,25290.05
1/1/1992,Brazil,1992/93,22625.00
1/1/1992,Other Countries,1992/93,29722.59
1/1/1993,Brazil,1993/94,28921.00
1/1/1993,Other Countries,1993/94,20968.23
1/1/1994,Brazil,1994/95,29227.00
1/1/1994,Other Countries,1994/95,17431.18
1/1/1995,Brazil,1995/96,32161.00
1/1/1995,Other Countries,1995/96,20765.78
1/1/1996,Brazil,1996/97,26361.00
1/1/1996,Other Countries,1996/97,17310.94
1/1/1997,Brazil,1997/98,27298.00
1/1/1997,Other Countries,1997/98,14662.30
1/1/1998,Brazil,1998/99,26594.00
1/1/1998,Other Countries,1998/99,13448.28
1/1/1999,Brazil,1999/00,30070.00
1/1/1999,Other Countries,1999/00,11141.46
1/1/2000,Brazil,2000/01,43762.00
1/1/2000,Other Countries,2000/01,11082.12
1/1/2001,Brazil,2001/02,43295.00
1/1/2001,Other Countries,2001/02,11065.73
1/1/2002,Brazil,2002/03,37303.00
1/1/2002,Other Countries,2002/03,11544.87
1/1/2003,Brazil,2003/04,42292.00
1/1/2003,Other Countries,2003/04,10968.49
1/1/2004,Brazil,2004/05,32056.00
1/1/2004,Other Countries,2004/05,9791.23
1/1/2005,Brazil,2005/06,28923.00
1/1/2005,Other Countries,2005/06,9050.22
1/1/2006,Brazil,2006/07,14855.00
1/1/2006,Other Countries,2006/07,8200.48
1/1/2007,Brazil,2007/08,18470.00
1/1/2007,Other Countries,2007/08,8111.57
1/1/2008,Brazil,2008/09,12227.00
1/1/2008,Other Countries,2008/09,6773.69
1/1/2009,Brazil,2009/10,15766.00
1/1/2009,Other Countries,2009/10,8372.88
1/1/2010,Brazil,2010/11,11098.00
1/1/2010,Other Countries,2010/11,11190.71
1/1/2011,Brazil,2011/12,13340.00
1/1/2011,Other Countries,2011/12,9039.34
1/1/2012,Brazil,2012/13,10063.00
1/1/2012,Other Countries,2012/13,8918.15
1/1/2013,Brazil,2013/14,15868.00
1/1/2013,Other Countries,2013/14,9550.72
1/1/2014,Brazil,2014/15,17720.00
1/1/2014,Other Countries,2014/15,10303.77
1/1/2015,Brazil,2015/16,12910.00
1/1/2015,Other Countries,2015/16,11325.37
1/1/2016,Brazil,2016/17,7800.00
1/1/2016,Other Countries,2016/17,10857.06
1/1/2017,Brazil,2017/18,9872.00
1/1/2017,Other Countries,2017/18,9665.56
1/1/2018,Brazil,2018/19,9832.00
1/1/2018,Other Countries,2018/19,9063.90
