GroupedCountry,Date,OneK60kgBags
Brazil,7/1/1990,27286.0
Viet Nam,7/1/1990,1310.0
Colombia,7/1/1990,14396.0
Indonesia,7/1/1990,7441.0
Ethiopia,7/1/1990,2909.0
India,7/1/1990,2829.0
Mexico,7/1/1990,4674.0
Guatemala,7/1/1990,3271.0
Honduras,7/1/1990,1568.0
Uganda,7/1/1990,1955.0
Other,7/1/1990,937.0
Other,7/1/1990,2940.0
Other,7/1/1990,2562.0
Other,7/1/1990,2465.0
Other,7/1/1990,461.0
Other,7/1/1990,1122.0
Other,7/1/1990,1504.0
Other,7/1/1990,963.0
Other,7/1/1990,1485.0
Other,7/1/1990,757.0
Other,7/1/1990,932.0
Other,7/1/1990,1682.0
Other,7/1/1990,1580.0
Other,7/1/1990,982.0
Other,7/1/1990,880.0
Other,7/1/1990,974.0
Other,7/1/1990,393.0
Other,7/1/1990,487.0
Other,7/1/1990,535.0
Other,7/1/1990,0.0
Other,7/1/1990,44.0
Other,7/1/1990,414.0
Other,7/1/1990,161.0
Other,7/1/1990,215.0
Other,7/1/1990,123.0
Other,7/1/1990,0.0
Other,7/1/1990,175.0
Other,7/1/1990,252.0
Other,7/1/1990,43.0
Other,7/1/1990,105.0
Other,7/1/1990,29.0
Other,7/1/1990,50.0
Other,7/1/1990,23.0
Other,7/1/1990,96.0
Other,7/1/1990,38.0
Other,7/1/1990,0.0
Other,7/1/1990,131.0
Other,7/1/1990,23.0
Other,7/1/1990,15.0
Other,7/1/1990,3.0
Other,7/1/1990,0.0
Other,7/1/1990,3.0
Other,7/1/1990,3.0
Other,7/1/1990,0.0
Other,7/1/1990,4.0
Other,7/1/1990,0.0
,7/1/1990,
,7/1/1990,
,7/1/1990,
Brazil,7/1/1991,27293.0
Viet Nam,7/1/1991,1438.0
Colombia,7/1/1991,17980.0
Indonesia,7/1/1991,8493.0
Ethiopia,7/1/1991,2925.0
India,7/1/1991,3000.0
Mexico,7/1/1991,4727.0
Guatemala,7/1/1991,3497.0
Honduras,7/1/1991,2322.0
Uganda,7/1/1991,2088.0
Other,7/1/1991,1200.0
Other,7/1/1991,4129.0
Other,7/1/1991,2760.0
Other,7/1/1991,2198.0
Other,7/1/1991,707.0
Other,7/1/1991,941.0
Other,7/1/1991,2124.0
Other,7/1/1991,747.0
Other,7/1/1991,1514.0
Other,7/1/1991,1469.0
Other,7/1/1991,790.0
Other,7/1/1991,1726.0
Other,7/1/1991,1230.0
Other,7/1/1991,933.0
Other,7/1/1991,321.0
Other,7/1/1991,1018.0
Other,7/1/1991,463.0
Other,7/1/1991,667.0
Other,7/1/1991,484.0
Other,7/1/1991,0.0
Other,7/1/1991,91.0
Other,7/1/1991,302.0
Other,7/1/1991,433.0
Other,7/1/1991,193.0
Other,7/1/1991,104.0
Other,7/1/1991,0.0
Other,7/1/1991,125.0
Other,7/1/1991,201.0
Other,7/1/1991,54.0
Other,7/1/1991,124.0
Other,7/1/1991,44.0
Other,7/1/1991,79.0
Other,7/1/1991,29.0
Other,7/1/1991,82.0
Other,7/1/1991,76.0
Other,7/1/1991,0.0
Other,7/1/1991,80.0
Other,7/1/1991,39.0
Other,7/1/1991,18.0
Other,7/1/1991,3.0
