date,composite_price,stockpile
1/1/1990,0.6275,0
2/1/1990,0.6701,
3/1/1990,0.7525,
4/1/1990,0.7534,
5/1/1990,0.733,
6/1/1990,0.6991,
7/1/1990,0.6836,
8/1/1990,0.741,
9/1/1990,0.7555,
10/1/1990,0.7389,
11/1/1990,0.701,
12/1/1990,0.7283,53433.991
1/1/1991,0.6938,
2/1/1991,0.7055,
3/1/1991,0.7247,
4/1/1991,0.7145,
5/1/1991,0.6747,
6/1/1991,0.6558,
7/1/1991,0.6431,
8/1/1991,0.6334,
9/1/1991,0.6686,
10/1/1991,0.6283,
11/1/1991,0.643,
12/1/1991,0.6307,50838.049
1/1/1992,0.6112,
2/1/1992,0.5551,
3/1/1992,0.5648,
4/1/1992,0.5364,
5/1/1992,0.4927,
6/1/1992,0.4813,
7/1/1992,0.487,
8/1/1992,0.4589,
9/1/1992,0.4711,
10/1/1992,0.5288,
11/1/1992,0.5749,
12/1/1992,0.64,52347.587
1/1/1993,0.5814,
2/1/1993,0.5732,
3/1/1993,0.5476,
4/1/1993,0.5138,
5/1/1993,0.5418,
6/1/1993,0.5454,
7/1/1993,0.6061,
8/1/1993,0.6769,
9/1/1993,0.7164,
10/1/1993,0.6778,
11/1/1993,0.7003,
12/1/1993,0.715,49889.229
1/1/1994,0.6917,
2/1/1994,0.7237,
3/1/1994,0.7611,
4/1/1994,0.8119,
5/1/1994,1.0842,
6/1/1994,1.2791,
7/1/1994,1.9144,
8/1/1994,1.8153,
9/1/1994,2.0239,
10/1/1994,1.8564,
11/1/1994,1.6812,
12/1/1994,1.4914,46658.175
1/1/1995,1.5208,
2/1/1995,1.5224,
3/1/1995,1.6273,
4/1/1995,1.5959,
5/1/1995,1.5596,
6/1/1995,1.4166,
7/1/1995,1.3271,
8/1/1995,1.417,
9/1/1995,1.2476,
10/1/1995,1.2002,
11/1/1995,1.1799,
12/1/1995,0.9957,52926.776
1/1/1996,1.0033,
2/1/1996,1.105,
3/1/1996,1.0589,
4/1/1996,1.0709,
5/1/1996,1.1024,
6/1/1996,1.0579,
7/1/1996,0.9997,
8/1/1996,1.0273,
9/1/1996,0.9652,
10/1/1996,0.9856,
11/1/1996,0.9714,
12/1/1996,0.9004,43671.938
1/1/1997,1.0003,
2/1/1997,1.2189,
3/1/1997,1.3747,
4/1/1997,1.422,
5/1/1997,1.8044,
6/1/1997,1.5538,
7/1/1997,1.3504,
8/1/1997,1.3263,
9/1/1997,1.3251,
10/1/1997,1.2109,
11/1/1997,1.1816,
12/1/1997,1.3002,41960.3
1/1/1998,1.3061,
2/1/1998,1.3078,
3/1/1998,1.1993,
4/1/1998,1.1966,
5/1/1998,1.1423,
6/1/1998,1.0384,
7/1/1998,0.9732,
8/1/1998,1.0125,
9/1/1998,0.9582,
10/1/1998,0.9501,
11/1/1998,0.9826,
12/1/1998,1.0073,40042.276
1/1/1999,0.9762,
2/1/1999,0.9236,
3/1/1999,0.894,
4/1/1999,0.8571,
5/1/1999,0.8951,
6/1/1999,0.864,
7/1/1999,0.782,
